timestamp,open,high,low,close,vol,start
2019-03-04 09:00:02.349,13765,13770,13720,13720,72854,2019-03-04 09:00:00.444
2019-03-04 09:00:11.417,13720,13760,13720,13755,72876,2019-03-04 09:00:02.349
2019-03-04 09:00:19.730,13755,13765,13745,13760,72826,2019-03-04 09:00:11.417
2019-03-04 09:00:34.494,13760,13785,13750,13785,74134,2019-03-04 09:00:19.730
2019-03-04 09:00:38.589,13785,13805,13785,13800,72914,2019-03-04 09:00:34.494
2019-03-04 09:00:47.945,13800,13825,13800,13815,72630,2019-03-04 09:00:38.589
2019-03-04 09:00:56.152,13815,13830,13810,13820,72612,2019-03-04 09:00:47.945
2019-03-04 09:01:10.385,13820,13860,13800,13855,73075,2019-03-04 09:00:56.152
2019-03-04 09:01:23.155,13855,13875,13830,13875,87185,2019-03-04 09:01:10.385
2019-03-04 09:01:31.309,13875,13925,13865,13925,75701,2019-03-04 09:01:23.155
2019-03-04 09:01:45.425,13925,13990,13915,13975,72358,2019-03-04 09:01:31.309
2019-03-04 09:01:54.017,13975,14000,13970,13995,71543,2019-03-04 09:01:45.425
2019-03-04 09:01:57.799,13995,14010,13975,13975,72473,2019-03-04 09:01:54.017
2019-03-04 09:02:03.811,13975,14000,13970,13995,72555,2019-03-04 09:01:57.799
2019-03-04 09:02:07.676,13995,13995,13960,13960,71989,2019-03-04 09:02:03.811
2019-03-04 09:02:29.176,13960,13970,13875,13920,73147,2019-03-04 09:02:07.676
2019-03-04 09:02:55.939,13920,13955,13870,13870,71927,2019-03-04 09:02:29.176
2019-03-04 09:03:26.179,13870,13945,13870,13940,72945,2019-03-04 09:02:55.939
2019-03-04 09:03:44.920,13940,13965,13935,13965,74996,2019-03-04 09:03:26.179
2019-03-04 09:04:25.728,13965,13985,13955,13965,72063,2019-03-04 09:03:44.920
2019-03-04 09:05:02.054,13965,13975,13930,13975,72318,2019-03-04 09:04:25.728
2019-03-04 09:05:09.017,13975,14000,13970,13980,72378,2019-03-04 09:05:02.054
2019-03-04 09:06:12.509,13980,13990,13930,13950,72358,2019-03-04 09:05:09.017
2019-03-04 09:06:36.842,13950,13960,13910,13915,71895,2019-03-04 09:06:12.509
2019-03-04 09:07:08.414,13915,13930,13895,13905,73913,2019-03-04 09:06:36.842
2019-03-04 09:07:58.774,13905,13915,13890,13900,72706,2019-03-04 09:07:08.414
2019-03-04 09:08:41.915,13900,13900,13860,13860,74005,2019-03-04 09:07:58.774
2019-03-04 09:09:21.742,13860,13875,13855,13870,74647,2019-03-04 09:08:41.915
2019-03-04 09:10:10.752,13870,13900,13865,13900,72484,2019-03-04 09:09:21.742
2019-03-04 09:11:04.449,13900,13945,13890,13915,73367,2019-03-04 09:10:10.752
2019-03-04 09:12:08.361,13915,13920,13860,13870,72686,2019-03-04 09:11:04.449
2019-03-04 09:13:09.956,13870,13930,13860,13910,72971,2019-03-04 09:12:08.361
2019-03-04 09:14:27.355,13910,13925,13885,13915,75351,2019-03-04 09:13:09.956
2019-03-04 09:15:10.433,13915,13945,13910,13945,76642,2019-03-04 09:14:27.355
2019-03-04 09:16:01.008,13945,13950,13915,13940,72343,2019-03-04 09:15:10.433
2019-03-04 09:16:35.556,13940,13965,13940,13950,72395,2019-03-04 09:16:01.008
2019-03-04 09:17:57.537,13950,13950,13920,13940,71844,2019-03-04 09:16:35.556
2019-03-04 09:18:49.176,13940,13940,13895,13900,73365,2019-03-04 09:17:57.537
2019-03-04 09:19:53.976,13900,13920,13885,13895,72083,2019-03-04 09:18:49.176
2019-03-04 09:20:55.352,13895,13935,13890,13930,73341,2019-03-04 09:19:53.976
2019-03-04 09:21:57.551,13930,13945,13910,13935,72639,2019-03-04 09:20:55.352
2019-03-04 09:23:07.982,13935,13950,13930,13950,74181,2019-03-04 09:21:57.551
2019-03-04 09:24:07.645,13950,13980,13940,13980,72545,2019-03-04 09:23:07.982
2019-03-04 09:24:32.619,13980,13995,13975,13995,79879,2019-03-04 09:24:07.645
2019-03-04 09:24:51.399,13995,14000,13990,13990,80528,2019-03-04 09:24:32.619
2019-03-04 09:25:00.431,13990,14000,13990,14000,95377,2019-03-04 09:24:51.399
2019-03-04 09:25:48.619,14000,14000,13980,13995,76876,2019-03-04 09:25:00.431
2019-03-04 09:26:56.411,13995,14000,13980,13990,73818,2019-03-04 09:25:48.619
2019-03-04 09:28:50.340,13990,13990,13950,13950,82842,2019-03-04 09:26:56.411
